day,cases,cases_new,growth,date
48,6,6,1.0,2020-03-10
49,8,2,1.333,2020-03-11
50,10,2,1.25,2020-03-12
51,14,4,1.4,2020-03-13
52,14,0,1.0,2020-03-14
53,20,6,1.428,2020-03-15
54,21,1,1.05,2020-03-16
