day,cases,cases_new,growth,date
48,4,4,1.0,2020-03-10
49,7,3,1.75,2020-03-11
50,14,7,2.0,2020-03-12
51,17,3,1.214,2020-03-13
52,21,4,1.235,2020-03-14
53,24,3,1.142,2020-03-15
54,45,21,1.875,2020-03-16
55,56,11,1.244,2020-03-17
56,55,-1,0.982,2020-03-18
