day,cases,cases_new,growth,date
48,7,7,1.0,2020-03-10
49,10,3,1.428,2020-03-11
50,12,2,1.2,2020-03-12
51,13,1,1.083,2020-03-13
52,19,6,1.461,2020-03-14
53,28,9,1.473,2020-03-15
54,33,5,1.178,2020-03-16
