day,cases,cases_new,growth,date
41,1,1,1.0,2020-03-03
42,10,9,10.0,2020-03-04
43,18,8,1.8,2020-03-05
44,19,1,1.055,2020-03-06
45,57,38,3.0,2020-03-07
46,83,26,1.456,2020-03-08
47,98,15,1.180,2020-03-09
