day,cases,cases_new,growth,date
48,1,1,1.0,2020-03-10
49,6,5,6.0,2020-03-11
50,19,13,3.166,2020-03-12
51,36,17,1.894,2020-03-13
52,77,41,2.138,2020-03-14
53,91,14,1.181,2020-03-15
54,136,45,1.494,2020-03-16
55,196,60,1.441,2020-03-17
