day,cases,cases_new,growth,date
49,3,3,1.0,2020-03-11
50,5,2,1.666,2020-03-12
51,10,5,2.0,2020-03-13
52,10,0,1.0,2020-03-14
53,13,3,1.3,2020-03-15
54,17,4,1.307,2020-03-16
55,23,6,1.352,2020-03-17
56,23,0,1.0,2020-03-18
57,35,12,1.521,2020-03-19
58,43,8,1.228,2020-03-20
59,43,0,1.0,2020-03-21
60,57,14,1.325,2020-03-22
