day,cases,cases_new,growth,date
48,144,144,1.0,2020-03-10
49,177,33,1.229,2020-03-11
50,221,44,1.248,2020-03-12
51,282,61,1.276,2020-03-13
52,340,58,1.205,2020-03-14
53,426,86,1.252,2020-03-15
54,557,131,1.307,2020-03-16
