day,cases,cases_new,growth,date
48,3,3,1.0,2020-03-10
49,5,2,1.666,2020-03-11
50,9,4,1.8,2020-03-12
51,14,5,1.555,2020-03-13
52,21,7,1.5,2020-03-14
53,35,14,1.666,2020-03-15
54,54,19,1.542,2020-03-16
55,60,6,1.111,2020-03-17
56,77,17,1.283,2020-03-18
57,89,12,1.155,2020-03-19
58,115,26,1.292,2020-03-20
59,138,23,1.2,2020-03-21
60,169,31,1.224,2020-03-22
